processor,OBJECTID,V,H,dimensions_km,grid_code,xmin,ymin,xmax,ymax,centroid_latitude_dd,centroid_longitude_dd,Shape_Length,Shape_Area,dist_full,dist_boreal,dist_south,dist_temp
1,74,5,52,50x50,AK050H052V005,350005,2150005,400005,2200005,69.30440359,-144.5905828,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,75,5,53,50x50,AK050H053V005,400005,2150005,450005,2200005,69.23608896,-143.3561577,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,76,5,54,50x50,AK050H054V005,450005,2150005,500005,2200005,69.15949012,-142.1291061,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,77,5,55,50x50,AK050H055V005,500005,2150005,550005,2200005,69.0746936,-140.9101917,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,78,5,56,50x50,AK050H056V005,550005,2150005,600005,2200005,68.98179369,-139.7001465,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,79,5,57,50x50,AK050H057V005,600005,2150005,650005,2200005,68.88089193,-138.4996683,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,80,5,58,50x50,AK050H058V005,650005,2150005,700005,2200005,68.77209656,-137.3094189,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,81,5,59,50x50,AK050H059V005,700005,2150005,750005,2200005,68.65552197,-136.1300225,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,82,5,60,50x50,AK050H060V005,750005,2150005,800005,2200005,68.53128809,-134.9620649,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,83,6,34,50x50,AK050H034V006,-549995,2100005,-499995,2150005,68.62997319,-166.8513769,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,84,6,35,50x50,AK050H035V006,-499995,2100005,-449995,2150005,68.71308249,-165.6536631,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,85,6,36,50x50,AK050H036V006,-449995,2100005,-399995,2150005,68.78814527,-164.4482413,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,86,6,37,50x50,AK050H037V006,-399995,2100005,-349995,2150005,68.85508023,-163.2358382,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,87,6,38,50x50,AK050H038V006,-349995,2100005,-299995,2150005,68.91381392,-162.0172076,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,88,6,39,50x50,AK050H039V006,-299995,2100005,-249995,2150005,68.96428109,-160.793128,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,89,6,40,50x50,AK050H040V006,-249995,2100005,-199995,2150005,69.00642508,-159.5643994,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,90,6,41,50x50,AK050H041V006,-199995,2100005,-149995,2150005,69.04019815,-158.3318409,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,91,6,42,50x50,AK050H042V006,-149995,2100005,-99995,2150005,69.06556177,-157.0962869,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,92,6,43,50x50,AK050H043V006,-99995,2100005,-49995,2150005,69.08248683,-155.8585845,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,93,6,44,50x50,AK050H044V006,-49995,2100005,5.000000004,2150005,69.09095382,-154.6195893,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,94,6,45,50x50,AK050H045V006,5.000000004,2100005,50005,2150005,69.09095298,-153.3801628,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,95,6,46,50x50,AK050H046V006,50005,2100005,100005,2150005,69.08248429,-152.1411679,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,96,6,47,50x50,AK050H047V006,100005,2100005,150005,2150005,69.06555754,-150.9034657,2e+05,2.5e+09,TRUE,FALSE,FALSE,FALSE
1,97,6,48,50x50,AK050H048V006,150005,2100005,200005,2150005,69.04019224,-149.6679123,200000,2500000000,TRUE,FALSE,FALSE,FALSE
1,98,6,49,50x50,AK050H049V006,200005,2100005,250005,2150005,69.00641749,-148.4353544,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,99,6,50,50x50,AK050H050V006,250005,2100005,300005,2150005,68.96427183,-147.2066267,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,100,6,51,50x50,AK050H051V006,300005,2100005,350005,2150005,68.913803,-145.9825481,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,101,6,52,50x50,AK050H052V006,350005,2100005,400005,2150005,68.85506766,-144.7639187,200000,2500000000,TRUE,TRUE,FALSE,FALSE
1,102,6,53,50x50,AK050H053V006,400005,2100005,450005,2150005,68.78813106,-143.5515169,200000,2500000000,TRUE,TRUE,FALSE,FALSE
